INDEX,Rank,Institution Name,Country,Classification,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,International Research Network,,Employment Outcomes,,Sustainability,,Overall Score,Web Links
756,751-760,Technische Universität Braunschweig,Germany,Large,Comprehensive,Very High,10.9,601+,14.3,572,55.5,270,5.5,701+,na,na,24.2,486,66.4,532,12.6,701+,7.3,701+,na,https://www.tu-braunschweig.de/?languageen
757,751-760,Tokyo University of Science,Japan,Large,Focused,Very High,10.4,601+,51.5,171,9.4,701+,10,701+,12.5,701+,3.7,701+,20.3,701+,41,313,2.4,701+,na,https://www.tus.ac.jp/en/
758,751-760,Universidade de Brasília,Brazil,Extra Large,Full Comprehensive,Very High,25.3,348,7.9,601+,7.1,701+,4.2,701+,10.8,701+,1.5,701+,67.5,514,29.6,420,35.1,403,na,https://www.unb.br/
759,751-760,Universita' Politecnica delle Marche,Italy,Medium,Focused,Very High,5.9,601+,2.8,601+,10.1,701+,48.4,275,4.9,701+,6.3,701+,77.7,366,1.9,701+,6.4,701+,na,https://www.polimarche.it/
760,751-760,University of Calcutta,India,Large,Comprehensive,Very High,17.1,529,6.5,601+,5.5,701+,21.4,539,24.7,541,1.1,701+,56,677,49.8,256,1.5,701+,na,https://www.caluniv.ac.in/
761,751-760,University of Engineering & Technology (UET) Lahore,Pakistan,Large,Specialist,Very High,10,601+,43.2,212,18,701+,6.7,701+,1.1,701+,1.8,701+,41.6,701+,47.7,269,7.5,701+,na,https://uet.edu.pk/
762,751-760,University of Malta,Malta,Medium,Full Comprehensive,High,6.1,601+,4.6,601+,31.7,498,7.2,701+,18,624,19.2,562,75.9,391,95.9,45,1.9,701+,na,https://www.um.edu.mt/
763,751-760,University of Messina (UniME),Italy,Large,Full Comprehensive,Very High,8.4,601+,2.3,601+,14.2,701+,36.7,372,1.3,701+,6,701+,75.6,394,1.6,701+,36.6,393,na,https://www.unime.it/
764,761-770,"Adam Mickiewicz University, Poznan",Poland,Large,Comprehensive,Very High,16,553,9.1,601+,33.3,473,4.8,701+,7.7,701+,8.3,701+,86.7,218,7.5,701+,31.6,432,na,https://amu.edu.pl/en/
765,761-770,Bangladesh University of Engineering and Technology,Bangladesh,Medium,Specialist,Very High,16.9,534,36.6,256,13.6,701+,14.9,640,na,na,1,701+,25.1,701+,22.2,518,1.2,701+,na,https://www.buet.ac.bd/
766,761-770,King Faisal University,Saudi Arabia,Large,Full Comprehensive,High,16.4,545,12.7,601+,14.5,701+,2.7,701+,98,121,3.9,701+,59.3,640,8.7,701+,1.5,701+,na,https://www.kfu.edu.sa/
767,761-770,Nanjing University of Aeronautics and Astronautics,China (Mainland),Extra Large,Focused,Very High,5.5,601+,3.4,601+,12.4,701+,57.8,213,5.3,701+,3,701+,39.7,701+,1.4,701+,1.6,701+,na,https://en.nuaa.edu.cn/
768,761-770,University of Cincinnati,United States,Extra Large,Full Comprehensive,Very High,11,601+,6,601+,19.4,687,22.9,521,4.3,701+,12.4,670,69,499,25.3,462,22.5,510,na,https://www.uc.edu/
769,761-770,"University of Colorado, Denver ",United States,Large,Full Comprehensive,High,8.2,601+,6.1,601+,100,5,3.6,701+,3.4,701+,8.1,701+,45.7,701+,5.6,701+,3.8,701+,na,https://www.ucdenver.edu/
770,761-770,University of Patras,Greece,Large,Full Comprehensive,Very High,11.7,601+,17.1,502,2.7,701+,27,475,1.4,701+,4.8,701+,60.6,626,3.7,701+,44.9,338,na,https://www.upatras.gr/en
771,771-780,Addis Ababa University,Ethiopia,Extra Large,Comprehensive,High,6.4,601+,9.3,601+,58.8,249,1.7,701+,na,na,na,na,55.2,694,95.5,49,3.3,701+,na,https://www.aau.edu.et/
772,771-780,Bournemouth University,United Kingdom,Large,Comprehensive,High,5.8,601+,6.4,601+,6.1,701+,16.4,617,80.3,237,47.1,312,72.6,445,4.8,701+,5.3,701+,na,https://www.bournemouth.ac.uk/
773,771-780,Chiba University,Japan,Large,Full Comprehensive,Very High,16.6,542,8.5,601+,66.1,197,8.8,701+,7.5,701+,4.3,701+,28.9,701+,3.8,701+,8.7,695,na,https://www.chiba-u.ac.jp/en/
774,771-780,China University of Geosciences,China (Mainland),Large,Focused,Very High,5.1,601+,1.4,601+,53.6,284,31.8,415,1.5,701+,2.7,701+,67,523,1.4,701+,4,701+,na,https://en.cug.edu.cn/
775,771-780,Colegio de México,Mexico,Small,Specialist,Very High,14.9,584,2.5,601+,100,1,1.7,701+,8.5,701+,16.4,596,9.6,701+,3.2,701+,1,701+,na,https://www.colmex.mx/
776,771-780,Holy Spirit University of Kaslik ,Lebanon,Medium,Focused,High,6.7,601+,6.4,601+,62.3,226,2.1,701+,98.9,108,37.8,372,6.5,701+,5.7,701+,1.1,701+,na,https://www.hes.edu.lb/
777,771-780,Universidad del Rosario,Colombia,Medium,Full Comprehensive,High,15.8,558,28.5,335,24.2,607,2.5,701+,7.2,701+,2.7,701+,31.8,701+,41.1,312,24.5,492,na,https://www.urosario.edu.co/
778,771-780,Université de Tunis El Manar,Tunisia,Large,Full Comprehensive,Very High,9.4,601+,4.3,601+,26,573,5.1,701+,39.5,421,7.8,701+,82.1,288,54.1,230,16.3,570,na,http://www.utm.rnu.tn/
779,771-780,"University of Maryland, Baltimore County",United States,Large,Full Comprehensive,High,10.2,601+,6.8,601+,14.1,701+,13.5,659,49.8,367,25.8,469,45,701+,4.5,701+,57.7,276,na,https://www.umbc.edu/
780,771-780,University of Pecs,Hungary,Large,Full Comprehensive,High,14.3,601+,11.9,601+,41.4,377,2.8,701+,9.3,701+,64.3,233,40.3,701+,4,701+,11.3,636,na,https://www.unipec.hu/
781,771-780,Verona University,Italy,Large,Focused,Very High,9.1,601+,2.7,601+,4.1,701+,41.6,333,4.5,701+,4.2,701+,71,468,3.1,701+,22.5,510,na,https://www.univr.it/en
782,781-790,Babes-Bolyai University,Romania,Extra Large,Comprehensive,Very High,15.5,569,19.5,463,5.3,701+,4.4,701+,7.8,701+,3.8,701+,80.1,321,26.7,445,42.7,354,na,https://www.ubbcluj.ro/en
783,781-790,Kasetsart University,Thailand,Extra Large,Comprehensive,Very High,25.2,350,18.6,475,6.5,701+,2.5,701+,4.3,701+,1.3,701+,51.9,701+,18.5,593,33.9,415,na,https://www.ku.ac.th/
784,781-790,National University of Uzbekistan,Uzbekistan,Large,Focused,High,25.5,347,15.8,540,5.2,701+,1.3,701+,89,197,2.5,701+,11.8,701+,20.4,559,1.4,701+,na,https://www.nuu.uz/en
785,781-790,Qassim University,Saudi Arabia,Extra Large,Full Comprehensive,High,10.6,601+,5,601+,33.9,465,1.8,701+,98.3,117,7.9,701+,68.3,511,2.4,701+,9.3,683,na,https://www.qu.edu.sa/
786,781-790,Texas Tech University,United States,Extra Large,Full Comprehensive,High,10.9,601+,10.6,601+,6.2,701+,11.3,701+,36.6,436,9.6,701+,70.5,478,13.7,701+,55.4,285,na,https://www.ttu.edu/
787,781-790,The New School,United States,Medium,Focused,Very High,15.2,580,8.2,601+,41.1,381,2.6,701+,5.7,701+,92.3,106,19.6,701+,13.5,701+,1,701+,na,https://www.newschool.edu/
788,781-790,Universidad de Belgrano,Argentina,Medium,Comprehensive,Low,9.4,601+,12.7,601+,86.6,100,1,701+,5.4,701+,24.1,490,2.5,701+,37.4,343,na,na,na,https://www.ub.edu.ar/
789,781-790,Universidade Federal de Santa Catarina ,Brazil,Extra Large,Full Comprehensive,Very High,19.3,465,4.8,601+,19.2,693,8.5,701+,4.1,701+,2.2,701+,62.1,604,17.3,614,52.1,305,na,https://www.ufsc.br/
790,781-790,University of Latvia,Latvia,Large,Full Comprehensive,High,11.5,601+,16.7,515,5.9,701+,5.3,701+,12.1,701+,5.1,701+,71.5,460,90.4,75,9.8,672,na,https://www.lu.lv/en/
791,781-790,University of Mons ,Belgium,Medium,Comprehensive,Very High,7.1,601+,7,601+,3.4,701+,37.3,369,35,458,33.7,400,43.7,701+,6.1,701+,1.6,701+,na,https://web.umons.ac.be/
792,781-790,Zürcher Hochschule Winterthur,Switzerland,Medium,Comprehensive,Very High,5.4,601+,6.6,601+,75,166,2.7,701+,65.9,297,12.8,664,41.4,701+,5.3,701+,1.6,701+,na,https://www.zhaw.ch/en/
793,791-800,Alfaisal University,Saudi Arabia,Small,Focused,Very High,4.8,601+,3,601+,21.6,644,10.6,701+,100,30,89,128,19.1,701+,4.4,701+,1.1,701+,na,https://www.alfaisal.edu/
794,791-800,Ivane Javakhishvili Tbilisi State University,Georgia,Large,Focused,High,10.4,601+,1.2,601+,73.9,173,1.2,701+,1.9,701+,3.2,701+,22.7,701+,88.4,86,1,701+,na,https://tu.edu.ge/
795,791-800,Keele University ,United Kingdom,Medium,Full Comprehensive,Very High,6,601+,4.4,601+,14.4,701+,26.2,484,51.6,359,30.7,423,62.9,586,6.9,701+,3.1,701+,na,https://www.keele.ac.uk/
796,791-800,New Jersey Institute of Technology (NJIT),United States,Medium,Focused,Very High,4.8,601+,6.7,601+,10.2,701+,30.4,433,31.5,487,52.9,278,29.1,701+,5.1,701+,26.5,476,na,https://www.njit.edu/
797,791-800,Sechenov University,Russia,Large,Specialist,Very High,5.3,601+,5,601+,57.4,256,4.3,701+,9,701+,63,241,83.6,272,1.9,701+,1,701+,na,https://www.sechenov.ru/en
798,791-800,Universidad de Antioquia,Colombia,Extra Large,Full Comprehensive,High,29.1,303,20.8,440,4.1,701+,4.3,701+,3.7,701+,1.2,701+,48.1,701+,20.4,556,2.9,701+,na,https://www.udea.edu.co
799,791-800,University of Kentucky,United States,Large,Full Comprehensive,Very High,11.1,601+,9.8,601+,15.3,701+,23.5,516,12.9,701+,3.3,701+,75.4,400,13.9,695,10.1,661,na,https://www.uky.edu
800,791-800,University of New Mexico,United States,Large,Full Comprehensive,Very High,10.5,601+,8,601+,43.5,360,14.9,637,8.2,701+,4,701+,73.1,436,7.3,701+,11,644,na,https://www.unm.edu
801,791-800,Vellore Institute of Technology (VIT),India,Extra Large,Comprehensive,Very High,12.7,601+,16.1,527,7.3,701+,18.9,570,8.9,701+,2.9,701+,76.9,379,6.1,701+,29.6,447,na,https://vit.ac.in
802,791-800,Wayne State University,United States,Large,Full Comprehensive,Very High,7.6,601+,3.4,601+,62.1,229,10.6,701+,13.3,700,5.4,701+,73.6,425,19.4,572,3.1,701+,na,https://wayne.edu
803,801-850,Al-Ahliyya Amman University,Jordan,Medium,Focused,Very High,9.6,601+,10.1,601+,9.4,701+,2.7,701+,75.5,260,100,28,16.9,701+,4.6,701+,1.5,701+,na,https://www.aauj.edu.jo
804,801-850,Alexandria University ,Egypt,Extra Large,Full Comprehensive,Very High,23.1,385,18.3,482,4.5,701+,2,701+,1.7,701+,4.8,701+,76.4,386,24.3,467,6.9,701+,na,https://www.alexu.edu.eg
805,801-850,Ankara Üniversitesi,Turkey,Extra Large,Full Comprehensive,High,20.2,439,16.8,511,7.8,701+,2.6,701+,2.3,701+,4.6,701+,70.6,477,53.5,234,2.9,701+,na,https://www.ankara.edu.tr
806,801-850,Asia University Taiwan,Taiwan,Medium,Focused,Very High,5.9,601+,1.8,601+,3.6,701+,52.5,247,9.9,701+,3.2,701+,57.1,661,2,701+,1.7,701+,na,https://www.asia.edu.tw
807,801-850,Beijing University of Technology,China (Mainland),Large,Comprehensive,Very High,7.7,601+,4.9,601+,38.2,417,33.1,399,4.7,701+,1.8,701+,31.9,701+,4.2,701+,1.6,701+,na,http://en.bjut.edu.cn
808,801-850,Belarusian National Technical University (BNTU),Belarus,Large,Specialist,Medium,14.8,588,26.7,359,51,302,1,701+,2.1,701+,34.1,398,5.1,701+,5.6,701+,na,na,na,https://www.bntu.by/en
809,801-850,"Birla Institute of Technology and Science, Pilani",India,Large,Comprehensive,Very High,11,601+,19.7,459,8,701+,20.4,552,2.2,701+,2.5,701+,37.6,701+,25.4,461,30.4,442,na,https://www.bits-pilani.ac.in
810,801-850,Edinburgh Napier University,United Kingdom,Large,Comprehensive,High,5,601+,5,601+,4,701+,11.8,698,77.5,248,86,146,60.1,633,4.9,701+,2.2,701+,na,https://www.napier.ac.uk
811,801-850,Gdansk University of Technology,Poland,Large,Focused,Very High,9.4,601+,15.2,553,29.6,527,12.7,676,5.3,701+,4,701+,65.8,546,3.2,701+,33.3,418,na,https://pg.edu.pl/en
812,801-850,Huazhong Agricultural University,China (Mainland),Extra Large,Comprehensive,Very High,4.2,601+,2.1,601+,6,701+,59.7,204,3.7,701+,1.6,701+,31.6,701+,3,701+,2.9,701+,na,http://www.hzau.edu.cn/en
813,801-850,Immanuel Kant Baltic Federal University,Russia,Medium,Comprehensive,Very High,7.6,601+,2.5,601+,79.4,142,1.8,701+,21.8,572,40.2,353,35.2,701+,1.9,701+,1.2,701+,na,http://www.baltic-federal-university.ru/en
814,801-850,Instituto Politécnico Nacional (IPN),Mexico,Extra Large,Focused,Very High,19.1,471,28.8,328,9.1,701+,2,701+,2.2,701+,1.1,701+,46,701+,6.8,701+,35.7,398,na,https://www.ipn.mx
815,801-850,Jouf University,Saudi Arabia,Large,Full Comprehensive,High,11.7,601+,5.1,601+,37.1,433,2.3,701+,100,32,2.6,701+,43.5,701+,2.4,701+,1,701+,na,https://www.ju.edu.sa
816,801-850,Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,Medium,Full Comprehensive,Medium,16.7,537,27.9,343,44.6,347,1.2,701+,7.1,701+,16.3,599,3.2,701+,7.7,701+,1.5,701+,na,https://ktu.edu.kz/en
817,801-850,Kuwait University,Kuwait,Large,Full Comprehensive,High,14.7,593,7.9,601+,6.8,701+,2.9,701+,20.4,591,19.4,558,39.3,701+,93.8,58,17.1,562,na,https://www.ku.edu.kw
818,801-850,Liverpool John Moores University,United Kingdom,Large,Comprehensive,Very High,10,601+,6.8,601+,8,701+,12.3,683,46.7,384,22.4,513,87.7,201,5.4,701+,13.6,604,na,https://www.ljmu.ac.uk
819,801-850,London South Bank University,United Kingdom,Large,Comprehensive,High,3.3,601+,2.9,601+,9.1,701+,4.4,701+,87.1,211,96.8,81,47.6,701+,8.5,701+,15.4,585,na,https://www.lsbu.ac.uk
820,801-850,Maynooth University,Ireland,Medium,Focused,Very High,10.4,601+,7.7,601+,9.2,701+,12.7,673,87.4,207,16.7,591,48.5,701+,9.2,701+,6.4,701+,na,https://www.maynoothuniversity.ie
821,801-850,National Technical University of Ukraine (Igor Sikorsky Kyiv Polytechnic Institute),Ukraine,Large,Comprehensive,Very High,16.2,549,31.8,297,37.4,429,1.5,701+,1,701+,2,701+,20.4,701+,21.3,539,4.3,701+,na,https://kpi.ua/en
822,801-850,Ocean University of China,China (Mainland),Large,Full Comprehensive,Very High,5.4,601+,2.7,601+,9.4,701+,50.5,258,3.2,701+,1.9,701+,51.1,701+,3,701+,4,701+,na,https://www.ouc.edu.cn/en
823,801-850,Philipps-Universität Marburg ,Germany,Large,Full Comprehensive,High,12.7,601+,8.8,601+,5.2,701+,25,498,14.9,666,20.7,529,61.6,607,4.8,701+,5.1,701+,na,https://www.uni-marburg.de/en
824,801-850,Pontificia Universidad Católica de Valparaíso,Chile,Large,Comprehensive,Very High,27,325,24.4,395,4.7,701+,6.6,701+,11.3,701+,1.6,701+,39.9,701+,8.7,701+,1.6,701+,na,https://www.pucv.cl
825,801-850,Rutgers University–Newark,United States,Medium,Comprehensive,Very High,10.1,601+,4.9,601+,17.5,701+,17.6,587,25.3,529,32.7,408,27.9,701+,36.9,346,29.3,451,na,https://newark.rutgers.edu
826,801-850,Syracuse University,United States,Large,Comprehensive,Very High,12.9,601+,8.7,601+,11.6,701+,10.6,701+,5.8,701+,39.3,357,55.5,684,42.7,301,11.6,629,na,https://www.syracuse.edu
827,801-850,The Catholic University of Korea ,South Korea,Medium,Full Comprehensive,Very High,4.5,601+,2.9,601+,98.6,42,14.1,652,3.8,701+,22.5,511,10.5,701+,1.9,701+,6.5,701+,na,https://www.cuk.ac.kr/eng
828,801-850,Toronto Metropolitan University,Canada,Extra Large,Comprehensive,Very High,8,601+,12,601+,1.8,701+,26.4,481,35.4,453,8.1,701+,57,662,15.1,660,3.8,701+,na,https://www.torontomu.ca
829,801-850,TU Dortmund University,Germany,Large,Comprehensive,Very High,14.1,601+,16,532,28.1,548,6.2,701+,22.4,564,17.1,584,61.1,616,6.8,701+,3.7,701+,na,https://www.tu-dortmund.de/en
830,801-850,Universidad Anáhuac México,Mexico,Large,Comprehensive,Medium,13.1,601+,20.4,446,50,308,1.1,701+,5.3,701+,3,701+,5.8,701+,61.8,194,1,701+,na,https://www.anahuac.mx
831,801-850,Universidad Iberoamericana IBERO,Mexico,Medium,Full Comprehensive,Medium,18.5,487,24.3,398,32.3,488,1.3,701+,5.4,701+,2.2,701+,5.2,701+,63.6,185,1.1,701+,na,https://www.ibero.mx
832,801-850,Universidad San Francisco de Quito (USFQ),Ecuador,Medium,Full Comprehensive,High,16,554,8.6,601+,40.1,390,2.4,701+,53.1,352,1.9,701+,24.9,701+,13.2,701+,21.5,518,na,https://www.usfq.edu.ec
833,801-850,Università degli Studi di Perugia,Italy,Large,Full Comprehensive,Very High,9.1,601+,2.3,601+,3.5,701+,40.9,341,6.4,701+,5.4,701+,65.9,542,1.7,701+,11.5,632,na,https://en.unipg.it
834,801-850,Universitas Brawijaya ,Indonesia,Extra Large,Full Comprehensive,High,19.2,469,42.4,219,11.5,701+,1.4,701+,13.7,692,1.4,701+,19.6,701+,13.1,701+,9,690,na,https://www.ub.ac.id
835,801-850,Universität Duisburg-Essen,Germany,Extra Large,Full Comprehensive,Very High,11.3,601+,4.2,601+,13.2,701+,11.2,701+,35,457,39.4,355,81.4,298,12.2,701+,5.9,701+,na,https://www.uni-due.de/en
836,801-850,Universität Rostock,Germany,Large,Full Comprehensive,High,7.3,601+,2.9,601+,84.4,110,5.2,701+,na,na,13.2,657,68.8,501,4.4,701+,3.4,701+,na,https://www.uni-rostock.de/en
837,801-850,Université de Lorraine,France,Extra Large,Focused,Very High,13.6,601+,3.3,601+,7,701+,12.9,668,27.6,512,27.4,453,95.9,59,14.8,669,11.8,623,na,https://www.univ-lorraine.fr
838,801-850,Universiti Tunku Abdul Rahman (UTAR),Malaysia,Large,Full Comprehensive,High,14,601+,30.9,304,12.4,701+,5.8,701+,12.7,701+,4.9,701+,45.5,701+,3.8,701+,26.5,476,na,https://www.utar.edu.my
839,801-850,University of Alaska Fairbanks,United States,Small,Comprehensive,Very High,2.7,601+,2,601+,98.8,41,12.9,670,4.8,701+,3,701+,42.6,701+,4.2,701+,2.5,701+,na,https://www.uaf.edu
840,801-850,University of Alicante,Spain,Large,Full Comprehensive,Very High,13.5,601+,6.7,601+,25.3,588,7.7,701+,7.3,701+,12.8,662,71.7,454,7.6,701+,31.3,435,na,https://www.ua.es
841,801-850,University of Baghdad,Iraq,Extra Large,Full Comprehensive,Very High,11,601+,16.9,509,24.6,598,1.5,701+,2.4,701+,1.1,701+,63.5,580,72.7,148,3.1,701+,na,http://www.uobaghdad.edu.iq
842,801-850,University of Bari,Italy,Large,Focused,Very High,12.4,601+,3,601+,4.6,701+,25,497,4.9,701+,2,701+,81.6,292,7.7,701+,25.7,483,na,https://www.uniba.it/en
843,801-850,University of Brighton,United Kingdom,Large,Focused,Very High,7.9,601+,6.1,601+,8.5,701+,14.9,639,54.8,340,51.1,288,72.5,446,6.1,701+,6.5,701+,na,https://www.brighton.ac.uk
844,801-850,University of Bucharest,Romania,Extra Large,Focused,Very High,15.2,577,19.5,462,7.1,701+,4.2,701+,2.6,701+,2,701+,69.1,498,53.4,235,25.7,483,na,https://unibuc.ro/en
845,801-850,University of Hyderabad,India,Medium,Full Comprehensive,Very High,13.2,601+,3,601+,14.5,701+,41.5,335,1.9,701+,2,701+,27,701+,3.1,701+,1.2,701+,na,https://www.uohyd.ac.in
846,801-850,University of Oregon,United States,Large,Comprehensive,Very High,18.3,496,9.4,601+,9.4,701+,18.5,573,7.6,701+,3.6,701+,53.4,701+,23.3,485,16.1,577,na,https://www.uoregon.edu
847,801-850,University of Petroleum and Energy Studies (UPES),India,Medium,Focused,Very High,21.8,405,6.1,601+,39.5,391,3.4,701+,18.2,622,1.2,701+,56.9,666,1.9,701+,1,701+,na,https://www.upes.ac.in
848,801-850,University of Salerno,Italy,Large,Full Comprehensive,Very High,8.6,601+,2.4,601+,5.6,701+,37.1,370,3.3,701+,1.6,701+,87.4,205,4,701+,19.2,545,na,https://www.unisa.it
849,801-850,University of Stavanger,Norway,Medium,Comprehensive,Very High,7.1,601+,5.8,601+,84.6,108,5,701+,na,na,na,na,69.6,489,10,701+,5.1,701+,na,https://www.uis.no/en
850,801-850,University of Ulsan ,South Korea,Medium,Full Comprehensive,Very High,5,601+,2.3,601+,60,241,33.6,392,2,701+,2.4,701+,28.8,701+,3.8,701+,5.6,701+,na,https://www.ulsan.ac.kr
851,801-850,Wuhan University of Technology,China (Mainland),Extra Large,Focused,Very High,6.9,601+,2.5,601+,11.5,701+,47,290,na,na,2.5,701+,51,701+,5.8,701+,1.5,701+,na,http://en.whut.edu.cn
852,851-900,AGH University of Science and Technology,Poland,Large,Comprehensive,Very High,9.6,601+,13.9,587,41.5,376,6.5,701+,2.9,701+,5.3,701+,75.6,395,3.2,701+,1.7,701+,na,https://www.agh.edu.pl/en
853,851-900,Al-Quds University,"Palestinian Territory, Occupied",Medium,Full Comprehensive,Medium,5.8,601+,14.6,568,12.7,701+,1.7,701+,61.5,318,66.8,222,30.6,701+,23.5,482,3,701+,na,https://www.alquds.edu
854,851-900,Applied Science Private University - Jordan,Jordan,Small,Comprehensive,High,9.9,601+,15.7,542,28.6,541,3.1,701+,39.3,422,59.7,248,10.4,701+,4.6,701+,1.8,701+,na,https://www.asu.edu.jo
855,851-900,Charles Sturt University ,Australia,Large,Comprehensive,Very High,5.1,601+,5.4,601+,8.2,701+,8.1,701+,45.4,395,47.9,303,53.4,701+,7.4,701+,41.7,357,na,https://www.csu.edu.au
856,851-900,Chonnam National University,South Korea,Large,Full Comprehensive,Very High,9.3,601+,4.7,601+,45.4,341,12.4,682,9,701+,7.3,701+,28.5,701+,4.7,701+,44.3,348,na,https://www.cnu.ac.kr/eng
857,851-900,Chungnam National University,South Korea,Large,Full Comprehensive,Very High,8.8,601+,7.8,601+,46.3,334,10.7,701+,7.2,701+,9.2,701+,32.7,701+,5,701+,25.7,483,na,https://www.cnd.ac.kr/eng
858,851-900,Clarkson University,United States,Small,Comprehensive,Very High,1.3,601+,1.9,601+,13.5,701+,41.8,329,48.5,374,15,623,30.6,701+,7.9,701+,1.2,701+,na,https://www.clarkson.edu
859,851-900,CY Cergy Paris University,France,Medium,Focused,Very High,3.7,601+,2.5,601+,49.5,317,5,701+,47.2,378,45.9,320,46,701+,1.5,701+,1.4,701+,na,https://www.cyu.fr/en
860,851-900,Donghua University,China (Mainland),Large,Focused,Very High,3.8,601+,1.6,601+,25.5,582,47.3,286,2.2,701+,3.1,701+,31.1,701+,3.7,701+,1.1,701+,na,http://en.donghua.edu.cn
861,851-900,Georgia State University,United States,Large,Comprehensive,Very High,11.3,601+,14.2,580,4.3,701+,22.4,526,4.8,701+,10.4,701+,62.3,600,18.2,599,7.2,701+,na,https://www.gsu.edu
862,851-900,Gulf University for Science and Technology,Kuwait,Small,Focused,High,14.6,597,9.3,601+,11.2,701+,4.8,701+,100,18,27.7,448,9.3,701+,11,701+,1.1,701+,na,https://www.gust.edu.kw
863,851-900,Jamia Millia Islamia,India,Medium,Comprehensive,Very High,9.3,601+,3.1,601+,33.6,470,26,486,3.2,701+,5.2,701+,43,701+,1.9,701+,1.6,701+,na,https://www.jmi.ac.in
864,851-900,Kansas State University ,United States,Large,Comprehensive,Very High,8.2,601+,6.7,601+,10.3,701+,22.1,531,10.1,701+,4.6,701+,74.9,411,13.5,701+,10.2,660,na,https://www.k-state.edu
865,851-900,Karaganda State Technical University,Kazakhstan,Medium,Focused,High,9.7,601+,7.7,601+,84.6,109,1.1,701+,10,701+,18.8,572,2.4,701+,5.8,701+,1.2,701+,na,http://www.kstu.kz
866,851-900,Kyrgyz Russian Slavic University,Kyrgyzstan,Medium,Comprehensive,Medium,9.3,601+,7,601+,99.8,26,1,701+,na,na,na,na,3.1,701+,24.1,470,na,na,na,http://www.krsu.edu.kg
867,851-900,Mendel University in Brno,Czech Republic,Medium,Focused,Very High,6.2,601+,6.5,601+,55.1,276,4.1,701+,11.2,701+,32.1,413,59.1,643,3.8,701+,1.2,701+,na,https://www.mendelu.cz/en
868,851-900,Nagasaki University,Japan,Medium,Focused,Very High,6.9,601+,2.3,601+,81,127,6.3,701+,5.8,701+,4.7,701+,49.2,701+,3,701+,2.1,701+,na,https://www.nagasaki-u.ac.jp/en
869,851-900,Northwest Agriculture and Forestry University,China (Mainland),Extra Large,Comprehensive,Very High,4.5,601+,1.4,601+,28.5,544,36.8,371,na,na,1.4,701+,58.8,645,3,701+,1.6,701+,na,http://en.nwafu.edu.cn
870,851-900,North-West University,South Africa,Extra Large,Comprehensive,Very High,7.4,601+,11,601+,4.9,701+,14.9,638,6.6,701+,2,701+,92.9,122,16.7,619,28.4,456,na,https://www.nwu.ac.za
871,851-900,Okayama University,Japan,Large,Full Comprehensive,Very High,8.9,601+,3.7,601+,61.3,233,7.7,701+,6.1,701+,6.3,701+,52.5,701+,2.9,701+,14.5,600,na,https://www.okayama-u.ac.jp/en
872,851-900,Oklahoma State University ,United States,Large,Full Comprehensive,High,8.3,601+,8.1,601+,9.2,701+,13.3,663,49.9,366,6.1,701+,66.8,526,17.3,610,9.4,680,na,https://www.okstate.edu
873,851-900,Pavol Jozef Šafárik University in Košice,Slovakia,Medium,Full Comprehensive,High,4.7,601+,5.1,601+,59.7,244,3,701+,5.1,701+,65.3,228,41.7,701+,4.6,701+,1,701+,na,https://www.upjs.sk/en
874,851-900,Poznan University of Life Sciences,Poland,Medium,Focused,Very High,5.6,601+,2.2,601+,94.3,67,6.4,701+,1.9,701+,7.9,701+,31,701+,3.3,701+,1.1,701+,na,https://en.puls.edu.pl
875,851-900,Shahid Beheshti University (SBU),"Iran, Islamic Republic of",Large,Focused,Very High,7.9,601+,7.3,601+,4.1,701+,33.3,397,1.6,701+,1.6,701+,64.7,563,19,582,1.5,701+,na,https://sbu.ac.ir/en
876,851-900,Swarthmore College,United States,Small,Comprehensive,High,3.4,601+,2.4,601+,88.8,91,11.7,699,8.7,701+,21.6,520,12.3,701+,15.2,652,1,701+,na,https://www.swarthmore.edu
877,851-900,Technological University Dublin,Ireland,Large,Comprehensive,High,12.6,601+,13.1,601+,12.3,701+,3.1,701+,31.8,485,38.8,362,43.9,701+,16.2,631,28.2,461,na,https://www.tudublin.ie
878,851-900,Thapar Institute of Engineering & Technology,India,Medium,Focused,Very High,4.7,601+,4.4,601+,8.8,701+,46.1,300,5.2,701+,1.8,701+,31.1,701+,3.1,701+,11.8,623,na,https://www.thapar.edu
879,851-900,Tokyo University of Agriculture and Technology ,Japan,Medium,Specialist,Very High,13.8,601+,7.4,601+,12.9,701+,30.5,430,5.4,701+,7.1,701+,40.4,701+,1.9,701+,1.3,701+,na,https://www.tuat.ac.jp/english
880,851-900,Universidad de Valladolid,Spain,Large,Comprehensive,Very High,10.5,601+,3.8,601+,34.4,460,4.3,701+,7,701+,3.6,701+,80.2,316,11.9,701+,43.9,352,na,https://www.uva.es
881,851-900,Universidad ORT Uruguay,Uruguay,Small,Focused,High,11.2,601+,12.4,601+,79,145,1.1,701+,15.8,655,1.9,701+,3.4,701+,5.7,701+,1,701+,na,https://www.ort.edu.uy
882,851-900,Universita' degli Studi di Ferrara,Italy,Large,Full Comprehensive,High,6.7,601+,2.6,601+,2.6,701+,34.6,386,2.9,701+,3.6,701+,70,487,4.1,701+,27.3,468,na,https://www.unife.it/en
